name,type,uom,pack_size,pack_cost,purchase_uom,purchase_label,abv,notes
Gin (in-house),ingredient,ml,1000,22.50,bottle,,41.2,Base spirit; in-house Fusion blend
Vodka (Bimber),ingredient,ml,1000,27.80,bottle,,37.5,Bimber single-estate vodka
Rye,ingredient,ml,700,28.02,bottle,,45.0,For Manhattans and rye-forward builds
Campari,ingredient,ml,700,15.17,bottle,,25.0,
Cocchi Torino,ingredient,ml,750,18.05,bottle,,16.5,Sweet vermouth — primary
Lillet Blanc,ingredient,ml,750,14.42,bottle,,,For Vespers
Kahlua,ingredient,ml,700,13.43,bottle,,16.5,For Espresso Martini and Cold Brew Negroni
Lemons (juice),ingredient,ml,1000,1.25,bag,per litre juiced,,100 lemons @ £0.25 makes 20L
Limes (juice),ingredient,ml,1000,10.00,bag,per litre juiced,,40 limes makes 1L
Sours base,ingredient,ml,1000,5.00,bottle,,,House-made citrus/sugar base; promote to sub-recipe in v1.5
250ml bottle,dry_good,each,1,0.62,each,,,Standard 250ml glass
500ml bottle,dry_good,each,1,0.54,each,,,Standard 500ml glass
50ml miniature bottle,dry_good,each,1,0.21,each,,,For Choose Six and Martini Flight
250ml back label,dry_good,each,1,0.32,each,,,Pre-printed; bottle serial stamped per unit
F&M 350ml bottle,dry_good,each,1,1.12,each,,,F&M-spec bottle
Choose Six outer box (6×500ml),packaging,each,1,0.55,each,,,Six-bottle gift carton
Single-bottle shipping carton,packaging,each,1,1.30,each,,,One-bottle ship-out
Inbound 1-box,packaging,each,1,0.30,each,,,Single-unit inbound carton
F&M 12-box outer carton,packaging,each,1,1.35,each,,,12 × 350ml outer for F&M dispatch
50ml mini outer box,packaging,each,1,0.46,each,,,Outer for Choose Six and Martini Flight
